model,dataset,selected_endpoint,HR@1,NDCG@1,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
Qwen3.5-4B,beauty,121 predicted_main,0.14823261117445838,0.14823261117445838,0.17149372862029647,0.16085093280984727,0.17742303306727480,0.16272833786791716,0.18654503990877994,0.16506990822521175
Qwen3.5-4B,movies_and_tv,41 adaptive_memory_type_selector,0.02205000000000000,0.02205000000000000,0.04865000000000000,0.03580967858980141,0.06265000000000000,0.04035108165765203,0.07475000000000000,0.04340781999555191
Qwen3.5-4B,toys_and_games,41 adaptive_memory_type_selector,0.02076000000000000,0.02076000000000000,0.03530000000000000,0.02829460000000000,0.04242000000000000,0.03058618000000000,0.05012000000000000,0.03253868000000000
Qwen3.5-4B,yelp,103 conflict_calibrated_memory_head_local,0.01316000000000000,0.01316000000000000,0.02890000000000000,0.02173191000000000,0.03266000000000000,0.02295194000000000,0.03752000000000000,0.02416711000000000

